breed1	score1	breed2	score2	breed3	score3	timestamp	filename	path
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.553	bull mastiff	0.193	"Staffordshire bullterrier, Staffordshire bull terrier"	0.12	3.341495991	american_bulldog_10.jpg	images/american_bulldog_10.jpg
bull mastiff	0.78	"boxer, american bulldog"	0.131	Rhodesian ridgeback	0.055	6.632282019	american_bulldog_100.jpg	images/american_bulldog_100.jpg
"boxer, american bulldog"	0.756	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.208	"Staffordshire bullterrier, Staffordshire bull terrier"	0.022	9.958525896	american_bulldog_101.jpg	images/american_bulldog_101.jpg
"boxer, american bulldog"	0.622	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.194	"Staffordshire bullterrier, Staffordshire bull terrier"	0.105	13.28923082	american_bulldog_102.jpg	images/american_bulldog_102.jpg
"Walker hound, Walker foxhound"	0.871	"boxer, american bulldog"	0.033	beagle	0.032	16.62117982	american_bulldog_103.jpg	images/american_bulldog_103.jpg
"Walker hound, Walker foxhound"	0.333	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.199	English foxhound	0.158	19.90114594	american_bulldog_104.jpg	images/american_bulldog_104.jpg
"Staffordshire bullterrier, Staffordshire bull terrier"	0.169	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.131	toy terrier	0.058	23.21123481	american_bulldog_105.jpg	images/american_bulldog_105.jpg
burrito	0.051	Welsh springer spaniel	0.047	"cleaver, meat cleaver, chopper"	0.04	26.51599598	american_bulldog_106.jpg	images/american_bulldog_106.jpg
French bulldog	0.503	"boxer, american bulldog"	0.249	"Boston bull, Boston terrier"	0.166	29.8180449	american_bulldog_107.jpg	images/american_bulldog_107.jpg
"boxer, american bulldog"	0.179	beagle	0.155	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.151	33.15265083	american_bulldog_108.jpg	images/american_bulldog_108.jpg
"Staffordshire bullterrier, Staffordshire bull terrier"	0.669	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.204	"boxer, american bulldog"	0.107	36.44885492	american_bulldog_109.jpg	images/american_bulldog_109.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.521	"Staffordshire bullterrier, Staffordshire bull terrier"	0.372	"boxer, american bulldog"	0.062	39.73372388	american_bulldog_11.jpg	images/american_bulldog_11.jpg
bull mastiff	0.618	"boxer, american bulldog"	0.25	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.093	43.03114891	american_bulldog_110.jpg	images/american_bulldog_110.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.6	"Staffordshire bullterrier, Staffordshire bull terrier"	0.363	"boxer, american bulldog"	0.026	46.32051086	american_bulldog_111.jpg	images/american_bulldog_111.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.409	"boxer, american bulldog"	0.235	"Staffordshire bullterrier, Staffordshire bull terrier"	0.194	49.65680599	american_bulldog_112.jpg	images/american_bulldog_112.jpg
"boxer, american bulldog"	0.647	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.232	"Staffordshire bullterrier, Staffordshire bull terrier"	0.063	52.9769218	american_bulldog_113.jpg	images/american_bulldog_113.jpg
"boxer, american bulldog"	0.939	bull mastiff	0.051	French bulldog	0.005	56.30754685	american_bulldog_114.jpg	images/american_bulldog_114.jpg
"boxer, american bulldog"	0.851	French bulldog	0.044	bull mastiff	0.041	59.5874238	american_bulldog_115.jpg	images/american_bulldog_115.jpg
"Boston bull, Boston terrier"	0.356	French bulldog	0.293	"boxer, american bulldog"	0.119	62.9197638	american_bulldog_116.jpg	images/american_bulldog_116.jpg
"boxer, american bulldog"	0.612	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.198	"basset, basset hound"	0.04	66.27280283	american_bulldog_117.jpg	images/american_bulldog_117.jpg
"boxer, american bulldog"	0.713	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.162	French bulldog	0.048	69.61139989	american_bulldog_118.jpg	images/american_bulldog_118.jpg
"boxer, american bulldog"	0.641	Great Dane	0.109	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.104	72.93230295	american_bulldog_119.jpg	images/american_bulldog_119.jpg
"boxer, american bulldog"	0.825	bull mastiff	0.102	French bulldog	0.051	76.21412802	american_bulldog_12.jpg	images/american_bulldog_12.jpg
"boxer, american bulldog"	0.618	Great Dane	0.18	"Staffordshire bullterrier, Staffordshire bull terrier"	0.077	79.50691795	american_bulldog_120.jpg	images/american_bulldog_120.jpg
"Saluki, gazelle hound"	0.067	"dalmatian, coach dog, carriage dog"	0.055	Labrador retriever	0.045	82.7873919	american_bulldog_121.jpg	images/american_bulldog_121.jpg
"Staffordshire bullterrier, Staffordshire bull terrier"	0.599	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.253	"boxer, american bulldog"	0.076	86.06893492	american_bulldog_122.jpg	images/american_bulldog_122.jpg
French bulldog	0.598	toy terrier	0.142	"Boston bull, Boston terrier"	0.052	89.35994291	american_bulldog_123.jpg	images/american_bulldog_123.jpg
"Staffordshire bullterrier, Staffordshire bull terrier"	0.392	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.204	"boxer, american bulldog"	0.093	92.64259696	american_bulldog_124.jpg	images/american_bulldog_124.jpg
bull mastiff	0.52	"boxer, american bulldog"	0.392	French bulldog	0.044	95.92719603	american_bulldog_125.jpg	images/american_bulldog_125.jpg
"boxer, american bulldog"	0.285	Great Dane	0.214	"Walker hound, Walker foxhound"	0.138	99.22804785	american_bulldog_126.jpg	images/american_bulldog_126.jpg
French bulldog	0.54	"boxer, american bulldog"	0.408	"Staffordshire bullterrier, Staffordshire bull terrier"	0.012	102.538888	american_bulldog_127.jpg	images/american_bulldog_127.jpg
French bulldog	0.963	bull mastiff	0.012	"boxer, american bulldog"	0.01	105.8271358	american_bulldog_128.jpg	images/american_bulldog_128.jpg
"boxer, american bulldog"	0.453	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.18	"Staffordshire bullterrier, Staffordshire bull terrier"	0.149	109.1500359	american_bulldog_129.jpg	images/american_bulldog_129.jpg
French bulldog	0.802	"boxer, american bulldog"	0.166	bull mastiff	0.031	112.4723618	american_bulldog_13.jpg	images/american_bulldog_13.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.494	"boxer, american bulldog"	0.253	"Staffordshire bullterrier, Staffordshire bull terrier"	0.142	115.775341	american_bulldog_130.jpg	images/american_bulldog_130.jpg
"boxer, american bulldog"	0.904	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.041	"Boston bull, Boston terrier"	0.017	119.2597559	american_bulldog_131.jpg	images/american_bulldog_131.jpg
"boxer, american bulldog"	0.665	bull mastiff	0.281	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.036	122.575758	american_bulldog_132.jpg	images/american_bulldog_132.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.423	Great Dane	0.234	"Staffordshire bullterrier, Staffordshire bull terrier"	0.166	125.856535	american_bulldog_133.jpg	images/american_bulldog_133.jpg
"boxer, american bulldog"	0.421	bull mastiff	0.256	"pug, pug-dog"	0.198	129.1853459	american_bulldog_134.jpg	images/american_bulldog_134.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.192	muzzle	0.173	whippet	0.167	132.469085	american_bulldog_135.jpg	images/american_bulldog_135.jpg
"Staffordshire bullterrier, Staffordshire bull terrier"	0.677	"boxer, american bulldog"	0.157	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.147	135.8028259	american_bulldog_136.jpg	images/american_bulldog_136.jpg
"boxer, american bulldog"	0.526	bull mastiff	0.423	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.029	139.1098979	american_bulldog_137.jpg	images/american_bulldog_137.jpg
"boxer, american bulldog"	0.687	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.181	"Staffordshire bullterrier, Staffordshire bull terrier"	0.117	142.624969	american_bulldog_138.jpg	images/american_bulldog_138.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.186	"Walker hound, Walker foxhound"	0.133	"boxer, american bulldog"	0.122	145.967792	american_bulldog_139.jpg	images/american_bulldog_139.jpg
French bulldog	0.493	"boxer, american bulldog"	0.24	"Boston bull, Boston terrier"	0.099	149.27106	american_bulldog_14.jpg	images/american_bulldog_14.jpg
French bulldog	0.94	bull mastiff	0.022	"boxer, american bulldog"	0.014	152.5983958	american_bulldog_140.jpg	images/american_bulldog_140.jpg
"boxer, american bulldog"	0.701	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.142	bull mastiff	0.13	155.880774	american_bulldog_141.jpg	images/american_bulldog_141.jpg
"boxer, american bulldog"	0.532	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.266	"Staffordshire bullterrier, Staffordshire bull terrier"	0.14	159.2151308	american_bulldog_142.jpg	images/american_bulldog_142.jpg
"boxer, american bulldog"	0.926	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.03	"Staffordshire bullterrier, Staffordshire bull terrier"	0.03	162.5461369	american_bulldog_143.jpg	images/american_bulldog_143.jpg
French bulldog	0.826	"Boston bull, Boston terrier"	0.076	"pug, pug-dog"	0.062	165.848665	american_bulldog_144.jpg	images/american_bulldog_144.jpg
bull mastiff	0.767	Great Dane	0.125	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.06	169.1445799	american_bulldog_146.jpg	images/american_bulldog_146.jpg
